Question,All Answers,Correct Answer,source_path,source_type
"For heart failure patients, which biomarker is used to assess the effectiveness of therapy with Sacubitril/Valsartan?",A. Serum creatinine B. Serum sodium C. NT-proBNP D. Serum potassium E. Hemoglobin F. C-reactive protein G. creatine kinase isoenzyme MB (CK-MB) H. Troponin-T,C. NT-proBNP,data/Dataset_Eval/PubMed_Pdfs/11.csv,pdf
"Which sodium-glucose cotransporter-2 (SGLT2) inhibitor demonstrated a 30% reduction in the risk of end-stage kidney disease, doubling of serum creatinine, or renal or cardiovascular (CV) death in the CREDENCE trial?",A. Dapagliflozin B. Empagliflozin C. Canagliflozin D. Ertugliflozin E. Liraglutide F. Dulaglutide G. Sitagliptin H. Alogliptin,C. Canagliflozin,data/Dataset_Eval/PubMed_Pdfs/12.csv,pdf
What is the main mechanism of action of sodium-glucose co-transporter-2 (SGLT2) inhibitors in lowering blood glucose levels in patients with type 2 diabetes (T2D)?,A. Enhancing insulin secretion B. Increasing insulin sensitivity C. Reducing hepatic glucose production D. Inhibiting glucose reabsorption in the proximal tubule of the kidney E. Delaying gastric emptying F. Increasing glucose uptake in muscle cells G. Inhibiting glucagon release H. Blocking carbohydrate absorption in the intestine,D. Inhibiting glucose reabsorption in the proximal tubule of the kidney,data/Dataset_Eval/PubMed_Pdfs/13.csv,pdf
Which glucagon-like peptide-1 receptor agonists (GLP-1RAs) showed a reduction in fatal or nonfatal stroke by 39% in the SUSTAIN-6 trial?,A. Albiglutide B. Dulaglutide C. Liraglutide D. Semaglutide E. Exenatide F. Lixisenatide G. Oral semaglutide H. Weekly exenatide,D. Semaglutide,data/Dataset_Eval/PubMed_Pdfs/14.csv,pdf
Which trial demonstrated that dapagliflozin reduced the hospitalization rate for heart failure with and without impaired left ventricular systolic function in patients with type 2 diabetes (T2D)?,A. EMPA-REG OUTCOME B. CANVAS C. DECLARE-TIMI 58 D. CREDENCE E. DAPA-HF F. VERTIS-CV G. REWIND H. SUSTAIN-6,C. DECLARE-TIMI 58,data/Dataset_Eval/PubMed_Pdfs/15.csv,pdf
Which antiplatelet therapy strategy was associated with significantly reduced bleeding in patients after percutaneous coronary intervention (PCI) at high-risk of bleeeding randomized after 3 months of PCI without increasing ischemic events in the TWILIGHT trial?,A. Aspirin monotherapy B. Ticagrelor monotherapy C. Prasugrel monotherapy D. Clopidogrel monotherapy E. Dual antiplatelet therapy (DAPT) with aspirin and ticagrelor F. Dual antiplatelet therapy (DAPT) with aspirin and prasugrel G. Dual antiplatelet therapy (DAPT) with aspirin and clopidogrel H. Triple antithrombotic therapy,B. Ticagrelor monotherapy,data/Dataset_Eval/PubMed_Pdfs/16.csv,pdf
"Which trial suggested that early surgery is beneficial for patients with asymptomatic very severe aortic stenosis, showing a significant reduction in operative mortality or cardiovascular mortality?",A. RECOVERY B. PARTNER 2 C. COAPT D. MITRA-FR E. EXCEL F. NOBLE G. SYNTAX H. TALENT,A. RECOVERY,data/Dataset_Eval/PubMed_Pdfs/17.csv,pdf
"In the COAPT trial, what was the benefit observed with MitraClip in patients with heart failure and secondary mitral regurgitation?",A. Improvement in exercise tolerance B. Reduction in hospitalizations for heart failure C. Improvement in left ventricular ejection fraction D. Reduction in myocardial infarction rates E. Improvement in quality of life F. Reduction in stroke incidence G. Reduction in atrial fibrillation occurrence,B. Reduction in hospitalizations for heart failure,data/Dataset_Eval/PubMed_Pdfs/18.csv,pdf
Which of the following trials suggested no overall benefit to a routine invasive strategy in patients with stable coronary artery disease?,A. ISCHEMIA B. EXCEL C. NOBLE D. SYNTAXES E. COMPLETE F. REVEAL G. PARTNER 3 H. ISCHEMIA-CKD,A. ISCHEMIA,data/Dataset_Eval/PubMed_Pdfs/19.csv,pdf
Which pharmacologic agent is recommended as the first-line treatment for patients with obstructive hypertrophic cardiomyopathy (HCM) and symptoms attributable to left ventricular outflow tract obstruction (LVOTO)?,A. Diltiazem B. Verapamil C. Metoprolol D. Propranolol E. Disopyramide F. Phenylephrine G. Digoxin H. Lisinopril,D. Propranolol,data/Dataset_Eval/PubMed_Pdfs/20.csv,pdf
Which of the following procedures is recommended for symptomatic patients with obstructive hypertrophic cardiomyopathy (HCM) who remain severely symptomatic despite guideline-directed management and therapy?,A. Percutaneous coronary intervention (PCI) B. Surgical septal myectomy C. Coronary artery bypass grafting (CABG) D. Mitral valve replacement E. Alcohol septal ablation F. Heart transplantation G. Balloon valvuloplasty H. Cardiac resynchronization therapy (CRT),B. Surgical septal myectomy,data/Dataset_Eval/PubMed_Pdfs/21.csv,pdf
What is the recommended management for patients with hypertrophic cardiomyopathy (HCM) and atrial fibrillation (AF) to prevent stroke?,"A. Antiplatelet therapy B. Aspirin alone C. Direct-acting oral anticoagulants (DOACs) D. Beta-blockers E. Calcium channel blockers F. Antiarrhythmic drugs G. Warfarin only H. None, as anticoagulation is not required",C. Direct-acting oral anticoagulants (DOACs),data/Dataset_Eval/PubMed_Pdfs/22.csv,pdf
Which factor is NOT a conventional risk factor for sudden cardiac death (SCD) in patients with hypertrophic cardiomyopathy (HCM) ?,A. Family history of hypertrophic cardiomyopathy (HCM)-related sudden death less than 50 years  B. Massive left ventricular hypertrophy (LVH) ≥30 mm C. Unexplained syncope D. Systolic dysfunction with ejection fraction <50% E. Nonsustained ventricular tachycardia (NSVT) F. Presence of an left ventricular (LV) apical aneurysm G. Diffuse and Extensive late gadolinium enhancement on Cardiac magnetic resonance imaging (MRI) H. Diabetes mellitus,H. Diabetes mellitus,data/Dataset_Eval/PubMed_Pdfs/23.csv,pdf
Which of the following risk factors has shown the most significant decrease in prevalence across European Society of Cardiology (ESC) member countries between 1980 and 2015?,A. Elevated blood pressure B. Hypercholesterolaemia C. Diabetes D. Obesity E. Smoking F. Alcohol consumption G. Physical inactivity H. Low vegetable and fruit consumption,A. Elevated blood pressure,data/Dataset_Eval/PubMed_Pdfs/24.csv,pdf
"According to the European Society of Cardiology (ESC) Atlas of Cardiology, what percentage of disability-adjusted life years (DALYs) due to cardiovascular disease (CVD) were accounted for by ischaemic heart disease and stroke in ESC member countries?",A. 50% B. 60% C. 70% D. 75% E. 80% F. 82% G. 85% H. 90%,F. 82%,data/Dataset_Eval/PubMed_Pdfs/25.csv,pdf
Which of the following was a common cause of aortic regurgitation before the availability of antibiotics?,A. Hypertension B. Coronary artery disease C. Bacterial endocarditis D. Rheumatic fever E. Congenital heart disease F. Myocardial infarction G. Atherosclerosis H. Heart failure,C. Syphilis,data/Dataset_Eval/PubMed_Pdfs/26.csv,pdf
"In the 20th century, what was the usual cause of sudden unexplained death, as attributed by cardiologists according to the document?",A. Atrial fibrillation B. Heart block C. Ventricular fibrillation D. Hypertension E. Myocardial infarction F. Stroke G. Pulmonary embolism H. Aortic dissection,C. Ventricular fibrillation,data/Dataset_Eval/PubMed_Pdfs/27.csv,pdf
Which of the following conditions is not listed as an indication for thoracic sympathectomy in cardiology?,A. Severe angina pectoris B. Long QT syndrome C. Catecholaminergic ventricular tachycardia D. Mitral valve prolapse E. Heart failure resistant to treatment F. Hyperhidrosis G. Recurrent ventricular tachyarrhythmias,D. Mitral valve prolapse,data/Dataset_Eval/PubMed_Pdfs/28.csv,pdf
What is a major complication of surgical sympathectomy involving the cervical ganglia? ,A. Horner’s Syndrome B. Increased blood pressure C. Severe angina D. Atrial fibrillation E. Pulmonary hypertension F. Myocardial infarction G. Deep vein thrombosis H. Cardiac arrest,A. Horner’s Syndrome,data/Dataset_Eval/PubMed_Pdfs/29.csv,pdf
"According to this paper, what significant improvement was observed in patients with heart failure who underwent sympathectomy by clipping the lower third of the left stellate ganglion and T3-T4 thoracic nerves?",A. Reduction in blood pressure by 30% B. Improvement in the six-minute walk test and quality of life questionnaire C. Complete resolution of heart failure symptoms D. Increased ejection fraction by 20% E. Reduction in hospital readmissions by 50% F. Decrease in heart rate variability G. Increase in cardiac output H. Reduction in myocardial infarction rates,B. Improvement in the six-minute walk test and quality of life questionnaire,data/Dataset_Eval/PubMed_Pdfs/30.csv,pdf
Which of the following is a temporary contraindication to heart transplantation until adequately treated?,A. Malignancy B. Diabetes C. Active infection D. Pulmonary hypertension E. Chronic obstructive pulmonary disease (COPD) F. Irreversible hepatic cirrhosis G. Advanced age H. Severe renal dysfunction,C. Active infection,data/Dataset_Eval/PubMed_Pdfs/31.csv,pdf
"According to this paper, which of the following is a criterion for Status 1 heart transplantation priority under the new allocation system?",A. left ventricular assist device (LVAD) for up to 30 days B. Multiple inotropes with continuous hemodynamic monitoring C. Extracorporeal membrane oxygenation (ECMO) (up to 7 days) D. Age over 70 E.  Intra-aortic balloon pump (up to 14 days) F. Nondischargeable surgically implanted left ventricular assist device (LVAD) G. Severe renal dysfunction H. Diabetes with poor control,C. ECMO (up to 7 days),data/Dataset_Eval/PubMed_Pdfs/32.csv,pdf
"Which patient scenario typically indicates the need for a long-term LVAD and reevaluation for transplantation later, also known as ""bridge to decision""?",A. Age greater than the heart transplantation program-specific age cutoff B. Super obesity (BMI>50 kg/m2) C. Pulmonary hypertension with PVR >6 Wood units D. Dementia E. Active infection F. Liver cirrhosis G. Malignancy with unfavorable prognosis,C. Pulmonary hypertension with PVR >6 Wood units,data/Dataset_Eval/PubMed_Pdfs/33.csv,pdf
Which of the following is NOT a common etiology of myocarditis according to the document?,A. Adenoviruses B. Herpes viruses C. Hepatitis C virus D. Rheumatoid arthritis E. Diabetes mellitus F. Immune checkpoint inhibitors G. Cocaine H. Hypereosinophilic syndrome,E. Diabetes mellitus,data/Dataset_Eval/PubMed_Pdfs/34.csv,pdf
"What imaging technique is highlighted for its ability to provide a non-invasive diagnosis and prognosis of myocarditis, especially in the acute phase?","A. Echocardiography (ECHO) B. Invasive Coronary Angiography (ICA) C. Cardiac Magnetic Resonance (CMR) D. Single-Photon Emission Computed Tomography (SPECT) E. Positron Emission Tomography (PET) F. Electrocardiogram (ECG) G. Laboratory tests (troponins, C-reactive protein) H. Computed Tomography Coronary Angiography (CTCA)",C. Cardiac Magnetic Resonance (CMR),data/Dataset_Eval/PubMed_Pdfs/35.csv,pdf
Which diagnostic test is considered necessary for the definitive diagnosis and personalized treatment of myocarditis?,"A. Electrocardiogram (ECG) B. Echocardiography (ECHO) C. Cardiac Magnetic Resonance (CMR) D. Invasive Coronary Angiography (ICA) E. Positron Emission Tomography (PET) F. Viral serology G. Endomyocardial biopsy (EMB) H. Laboratory tests (troponins, C-reactive protein)",G. Endomyocardial biopsy (EMB),data/Dataset_Eval/PubMed_Pdfs/36.csv,pdf
What led to the dramatic reduction in procedural performance of balloon aortic valvuloplasty (BAV) despite initial high enthusiasm?,A. High cost of the procedure B. Limited training programs C. Introduction of newer techniques D. Almost inevitable restenosis within 1 year E. Lack of insurance coverage F. High complication rates G. Poor patient outcomes H. Limited patient population,D. Almost inevitable restenosis within 1 year,data/Dataset_Eval/PubMed_Pdfs/37.csv,pdf
Which of the following is NOT a typical application of transcatheter electrosurgery?,A. Pulmonary atresia traversal in newborns B. Recanalization of chronic total venous occlusions C. Coronary artery bypass grafting D. Intentional laceration of the anterior mitral leaflet E. Transseptal puncture for atrial septal defect closure F. Transcaval access for large-bore devices G. Reverse Potts shunt for pulmonary artery hypertension H. Glenn shunt for superior vena cava and pulmonary artery connection,C. Coronary artery bypass grafting,data/Dataset_Eval/PubMed_Pdfs/38.csv,pdf
Which clinical application involves the use of transcatheter electrosurgery to create a right-to-left shunt bypassing the cerebral circulation?,A. BASILICA B. LAMPOON C. ELASTA-Clip D. Reverse Potts shunt E. Transseptal puncture F. Transcaval access G. Glenn shunt H. Tricuspid annuloplasty,D. Reverse Potts shunt,data/Dataset_Eval/PubMed_Pdfs/39.csv,pdf
What complication is avoided by using high-frequency alternating currents in transcatheter electrosurgery?,A. Stroke B. Blood coagulation C. Tissue vaporization D. Muscle contraction E. Pain F. Myocardial infarction G. Thrombus formation H. Calcification of the target tissue,D. Muscle contraction,data/Dataset_Eval/PubMed_Pdfs/40.csv,pdf
What anatomical structure is located in the anterior interventricular groove?,A. Right coronary artery B. Left anterior descending artery C. Left circumflex artery D. Right marginal artery E. Posterior descending artery F. Inferior interventricular artery G. Anterior interventricular artery H. Septal artery,B. Left anterior descending artery,data/Dataset_Eval/PubMed_Pdfs/41.csv,pdf
Which component is highlighted as posterior to the lfet atrium in the middle mediastinum?,A. Aorta B. Trachea C. Pulmonary trunk D. Esophagus E. Right atrium F. Right ventricle G. Inferior vena cava H. Left ventricle,D. Esophagus,data/Dataset_Eval/PubMed_Pdfs/42.csv,pdf
Which leaflet of the tricuspid valve is typically the largest and longest in the radial direction?,A. Anterior leaflet B. Posterior leaflet C. Septal leaflet D. Inferior leaflet E. Superior leaflet F. Lateral leaflet G. Medial leaflet H. Commissural leaflet,A. Anterior leaflet,data/Dataset_Eval/PubMed_Pdfs/43.csv,pdf
"According to the document, what was the most common underlying cardiac morphology in pediatric patients treated for coronary artery stenosis (CAS) in the study?",A. Tetralogy of Fallot B. Complex transposition of the great arteries C. Pulmonary atresia with intact ventricular septum D. Hypoplastic left heart syndrome E. Dilated cardiomyopathy F. Myocarditis G. Single coronary artery anomaly,B. Complex transposition of the great arteries,data/Dataset_Eval/PubMed_Pdfs/44.csv,pdf
"According to the document, which intervention technique was most frequently used for treating coronary artery stenosis (CAS) in pediatric patients?",A. Primary stent placement B. Balloon angioplasty C. Combination of balloon angioplasty and stent placement D. Coil embolization E. Vascular plug placement F. Surgical revascularization G. Covered stent placement H. Drug-eluting balloon angioplasty,B. Balloon angioplasty,data/Dataset_Eval/PubMed_Pdfs/45.csv,pdf
"According to the document, which coronary artery was most commonly involved in interventions for coronary artery stenosis (CAS) in pediatric patients?",A. Left anterior descending artery (LAD) B. Right coronary artery (RCA) C. Circumflex artery (CX) D. Left main coronary artery E. Posterior descending artery F. Marginal artery G. Anomalous coronary artery H. Coronary artery fistula,A. Left anterior descending artery (LAD),data/Dataset_Eval/PubMed_Pdfs/46.csv,pdf
Which of the following was NOT identified as a risk factor for developing or requiring readmission to the hopsital with postoperative pericardial effusion (PPE) in children?,A. Higher age B. Prior cardiac surgery C. Down Syndrome D. Increased Continuous Positive Airway Pressure therapy (CPAP) duration E. Increased body surface area F. Cardiopulmonary bypass G. Use of inotropic agents ,B. Prior cardiac surgery,data/Dataset_Eval/PubMed_Pdfs/47.csv,pdf
What feature differentiates ischemia-induced myocardial injury from nonischemic myocardial injury in cardiac magnetic resonance imaging (MRI)?,A. Subendocardial to epicardial extension B. Epicardial localization only C. Mid-wall localization only D. Involvement of right ventricular insertion points E. Generalized myocardial thickening F. Absence of myocardial edema G. Presence of pericardial effusion H. Hyperenhancement in all myocardial segments,A. Subendocardial to epicardial extension,data/Dataset_Eval/PubMed_Pdfs/48.csv,pdf
What clinical finding is indicative of acute myocardial ischemia on an electrocardiogram (ECG)?,A. Prolonged PR interval B. Pathological Q waves C. Peaked T waves D. Delta waves E. Low voltage QRS complexes F. ST-segment elevation or depression G. Inverted P waves H. Prolonged QT interval,F. ST-segment elevation or depression,data/Dataset_Eval/PubMed_Pdfs/49.csv,pdf
What is the primary goal in the management of patients with type 2 myocardial infarction (MI)?,A. Immediate coronary revascularization B. Antithrombotic therapy C. Treatment of the primary cause of supply/demand mismatch D. Long-term beta-blocker therapy E. Immediate thrombolysis F. Lifelong anticoagulation G. Regular exercise stress testing H. Dietary modification,C. Treatment of the primary cause of supply/demand mismatch,data/Dataset_Eval/PubMed_Pdfs/50.csv,pdf
Which diagnostic method remains the gold standard for diagnosing coronary artery disease?,A. Cardiac magnetic resonance imaging (MRI) B. Optical coherence tomography C. Fractional flow reserve D. Coronary angiography E. Intravascular ultrasonography F. Cardiac computed tomographic angiography G. Echocardiography H. Single-photon-emission computed tomography,D. Coronary angiography,data/Dataset_Eval/PubMed_Pdfs/51.csv,pdf
Which conduit is recommended to be used to bypass the left anterior descending artery in coronary artery bypass surgery (CABG)?,A. Saphenous vein B. Right internal thoracic artery (RITA) C. Left internal thoracic artery (LITA) D. Radial artery E. Femoral artery F. Brachial artery G. Popliteal artery H. Carotid artery,C. Left internal thoracic artery (LITA),data/Dataset_Eval/PubMed_Pdfs/52.csv,pdf
What has been found to be superior to coronary angiography in guiding percutaneous coronary intervention (PCI) for multivessel coronary artery disease?,A. Optical coherence tomography B. Cardiac magnetic resonance imaging (MRI) C. Intravascular ultrasonography D. Fractional flow reserve E. Cardiac computed tomographic angiography F. Echocardiography G. Single-photon-emission computed tomography H. Stress testing,D. Fractional flow reserve,data/Dataset_Eval/PubMed_Pdfs/53.csv,pdf
"Which trial showed noninferiority of percutaneous coronary intervention (PCI) and coronary artery bypass surgery (CABG) for left main disease, but an increased rate of all-cause mortality with percutaneous coronary intervention (PCI) at 5 years?",A. SYNTAX trial B. BARI trial C. EXCEL trial D. NOBLE trial E. ROMA trial F. COURAGE trial G. ISCHEMIA trial H. RADIAL trial,C. EXCEL trial,data/Dataset_Eval/PubMed_Pdfs/54.csv,pdf
What is the recommended blood glucose level range for patients undergoing coronary artery bypass surgery (CABG) to improve outcomes?,A. 60 to 80 mg/dL B. 80 to 110 mg/dL C. 110 to 130 mg/dL D. 130 to 150 mg/dL E. 150 to 170 mg/dL F. 170 to 190 mg/dL G. 190 to 210 mg/dL H. 210 to 230 mg/dL,B. 80 to 110 mg/dL,data/Dataset_Eval/PubMed_Pdfs/55.csv,pdf
Which type of artery graft has been shown to protect the native coronary vessels from atherosclerotic disease progression?,A. Subclavian artery B. Femoral artery C. Saphenous vein D. Internal thoracic artery E. Brachial artery F. Popliteal artery G. Carotid artery H. Brachicephalic trunk,D. Internal thoracic artery,data/Dataset_Eval/PubMed_Pdfs/56.csv,pdf
Which trial showed that PCI has failed to improve survival or significantly reduce new myocardial infarctions in stable coronary artery disease (CAD)?,A. STICH trial B. SYNTAX trial C. EXCEL trial D. BEST trial E. NOBLE trial F. PRECOMBAT trial G. FREEDOM trial H. COURAGE trial,H. COURAGE trial,data/Dataset_Eval/PubMed_Pdfs/57.csv,pdf
Which factor is associated with the greatest risk of coronary artery disease (CAD) progressing to an acute myocardial infarction?,A. Degree of stenosis B. Patient's age C. Patient's gender D. Geographic location E. Type of stent used F. Use of anticoagulants G. Presence of diabetes mellitus H. Level of physical activity,A. Degree of stenosis,data/Dataset_Eval/PubMed_Pdfs/58.csv,pdf
Which of the following congenital heart diseases has the highest rate of prenatal detection according to this document?,A. Hypoplasia of the right ventricle B. Ebstein’s anomaly C. Truncus arteriosus D. Atriventricular canal (AV) canal E. Hypoplastic left heart syndrome F. Tetralogy of Fallot G. Transposition of the great arteries H. Pulmonary atresia with ventricular septal defect (VSD),E. Hypoplastic left heart syndrome,data/Dataset_Eval/PubMed_Pdfs/59.csv,pdf
"In the first trimester, what is the main ultrasound marker of risk for congenital heart disease (CHD)?",A. Pathological ductus venosus B. Tricuspid regurgitation C. Increased nuchal translucency D. Abnormal ductus venosus (DV) and normal nuchal translucency (NT) E. Positive likelihood ratio F. Retrograde flow in aortic arch G. Reduced amniotic fluid H. Thymic hypoplasia,C. Increased nuchal translucency,data/Dataset_Eval/PubMed_Pdfs/60.csv,pdf
Which method is recommended for the prenatal assessment of the fetal heart according to International Society of Ultrasound in Obstetrics and Gynecology (ISUOG) guidelines during weeks of gestation 11-14?,A. Cardiac magnetic resonance imaging (MRI) B. CT scan C. Detailed fetal ultrasound D. Standardized four-chamber view E. Genetic assessment F. Maternal blood test G. Amniocentesis H. Chorionic villus sampling,D. Standardized four-chamber view,data/Dataset_Eval/PubMed_Pdfs/61.csv,pdf
What is the main risk factor for congenital heart disease associated with maternal autoimmune diseases?,A. Increased nuchal translucency B. Pathological ductus venosus C. Positive anti-Ro and anti-La antibodies D. Tricuspid regurgitation E. Maternal diabetes F. Varicella infection G. Parvovirus infection H. Exposure to teratogenic agents,C. Positive anti-Ro and anti-La antibodies,data/Dataset_Eval/PubMed_Pdfs/62.csv,pdf
Which of the following is not an indication for a fetal echocardiogram based on maternal conditions?,A. Diabetes mellitus B. Systemic lupus erythematosus C. Sjögren syndrome D. Positive family history of congenital heart disease E. Maternal infections F. Exposure to teratogenic agents G. Increased maternal age H. Maternal autoimmune diseases,G. Increased maternal age,data/Dataset_Eval/PubMed_Pdfs/63.csv,pdf
Which congenital heart defect is most strongly associated with trisomy 21?,A. Hypoplastic left heart syndrome B. AV canal C. Tetralogy of Fallot D. Truncus arteriosus E. Pulmonary atresia with ventricular septal defect (VSD) F. Coarctation of the aorta G. Transposition of the great arteries H. Ebstein’s anomaly,B. AV canal,data/Dataset_Eval/PubMed_Pdfs/64.csv,pdf
Which gene is associated with the regulation of left-right patterning and has been found mutated in patients with transposition of the great arteries (TGA)?,A. GDF1 B. FOXH1 C. SMAD6 D. ZIC3 E. NODAL F. CITED2 G. TBX1 H. JAG1,E. NODAL,data/Dataset_Eval/PubMed_Pdfs/65.csv,pdf
"Which gene's mutations are associated with Holt-Oram syndrome, characterized by heart and upper limb deformities?",A. NKX2-5 B. GATA4 C. TBX5 D. FOXH1 E. HAND1 F. ZIC3 G. CITED2 H. MSX1,C. TBX5,data/Dataset_Eval/PubMed_Pdfs/66.csv,pdf
Which of the following diagnostic criteria must be present to diagnose acute pericarditis according to the 2015 European Society of Cardiology (ESC) guidelines?,A. Elevated C-reactive protein (CRP) B. Pleuritic chest pain C. Fever > 38°C D. Pericardial knock E. Shortness of breath F. Palpitations G. Positive blood cultures H. Elevated white blood cell count,B. Pleuritic chest pain,data/Dataset_Eval/PubMed_Pdfs/67.csv,pdf
Which medication is recommended as the mainstay for the treatment of acute pericarditis?,A. Antibiotics B. Non-steroidal anti-inflammatory drugs (NSAIDs) C. Steroids D. Antiviral drugs E. Immunosuppressants F. Beta-blockers G. Diuretics H. Anticoagulants,B. NSAIDs,data/Dataset_Eval/PubMed_Pdfs/68.csv,pdf
Which imaging modality is best for assessing pericardial thickness and calcifications?,A. Cardiac magnetic resonance (CMR) B. Chest X-ray C. Cardiac computed tomography (CCT) D. Transthoracic echocardiography E. Positron emission tomography (PET) F. Coronary angiography G. Abdominal ultrasound H. Electrocardiography (ECG),C. Cardiac computed tomography (CCT),data/Dataset_Eval/PubMed_Pdfs/69.csv,pdf
Which of the following medications is most effective in reducing recurrences of pericarditis?,A. Ibuprofen B. Aspirin C. Colchicine D. Methyprednisolone E. Antibiotics F. Naproxen G. Antiviral drugs H. Indomethacin,C. Colchicine,data/Dataset_Eval/PubMed_Pdfs/70.csv,pdf
What is the most common infectious cause of acute pericarditis?,A. Bacterial infections B. Fungal infections C. Parasitic infections D. Viral infections E. Mycobacterial infections F. Spirochetal infections G. Protozoal infections H. Rickettsial infections,D. Viral infections,data/Dataset_Eval/PubMed_Pdfs/71.csv,pdf
Which anti-inflammatory drug is preferred in patients with acute pericarditis who have concomitant coronary artery disease?,A. Ibuprofen B. Indomethacin C. Naproxen D. Aspirin E. Diclofenac F. Ketorolac G. Celecoxib H. Colchicine,D. Aspirin,data/Dataset_Eval/PubMed_Pdfs/72.csv,pdf
What is the most common etiological agent for purulent pericarditis?,A. Staphylococcus aureus B. Streptococcus pneumoniae C. Escherichia coli D. Pseudomonas aeruginosa E. Klebsiella pneumoniae F. Haemophilus influenzae G. Neisseria meningitidis H. Mycobacterium tuberculosis,A. Staphylococcus aureus,data/Dataset_Eval/PubMed_Pdfs/73.csv,pdf
